Stop_ID,point1,Stop_ID,point2,distance
273,"O'Connell St",7113,"Ballymun Road",5.77964772681754
273,"O'Connell St",7113,"Ballymun Road",5.77964772681754
273,"O'Connell St",7113,"Ballymun Road",5.77964772681754
273,"O'Connell St",7113,"Ballymun Road",5.77964772681754
273,"O'Connell St",7113,"Ballymun Road",5.812062518352789
273,"O'Connell St",7113,"Ballymun Road",5.9151036199665095
273,"O'Connell St",7113,"Ballymun Road",5.990615535111709
273,"O'Connell St",7113,"Ballymun Road",6.01129768547247
273,"O'Connell St",7113,"Ballymun Road",6.075106001426769
408,"Merrion Sq",7113,"Ballymun Road",6.531388954545684
408,"Merrion Sq",7113,"Ballymun Road",6.620671916568142
412,"Northumberland Rd",7113,"Ballymun Road",7.31956464346027
414,"Pembroke Road",7113,"Ballymun Road",7.768084192976474
414,"Pembroke Road",7113,"Ballymun Road",7.8898136196159605
416,Ballsbridge,7113,"Ballymun Road",8.166872226712554
416,Ballsbridge,7113,"Ballymun Road",8.214829074100477
416,Ballsbridge,7113,"Ballymun Road",8.257737678617557
418,"Merrion Road",7113,"Ballymun Road",8.592595432377582
418,"Merrion Road",7113,"Ballymun Road",8.695246410839115
422,"Merrion Road",7113,"Ballymun Road",9.685920784240219
422,"Merrion Road",7113,"Ballymun Road",9.685920784240219
422,"Merrion Road",7113,"Ballymun Road",9.816010762624122
424,"Merrion Road",7113,"Ballymun Road",10.131472355653377
424,"Merrion Road",7113,"Ballymun Road",10.25419917698432
424,"Merrion Road",7113,"Ballymun Road",10.304933605103738
424,"Merrion Road",7113,"Ballymun Road",10.471530142737144
426,"Rock Road",7113,"Ballymun Road",10.72120513905239
426,"Rock Road",7113,"Ballymun Road",10.981050399412375
428,"Rock Road",7113,"Ballymun Road",11.448296012797847
428,"Rock Road",7113,"Ballymun Road",11.619257707787344
6334,"Frascati Road",7113,"Ballymun Road",12.194091517809364
6334,"Frascati Road",7113,"Ballymun Road",12.194091517809364
6334,"Frascati Road",7113,"Ballymun Road",12.278124846838613
6334,"Frascati Road",7113,"Ballymun Road",12.284429353242524
6334,"Frascati Road",7113,"Ballymun Road",12.463403220835932
