,Intercept,Stop_sequence,scheduled_speed_per_stop,stops_travelled,Time_bin_xxx,DayOfWeek,Prediction
114298,1.0,38.0,0.9836065573770492,53.0,15000.0,1.0,22.15
47460,1.0,35.0,0.9836065573770492,46.0,15110.0,0.0,22.95
103700,1.0,41.0,0.9836065573770492,18.0,16111.0,2.0,8.323724284768304
112187,1.0,30.0,0.9836065573770492,53.0,19000.0,4.0,25.35833333333333
26584,1.0,57.0,0.9836065573770492,54.0,12000.0,1.0,2.8883545297572657
96522,1.0,18.0,0.9836065573770492,59.0,6111.0,0.0,51.8
71133,1.0,61.0,0.9836065573770492,54.0,21111.0,0.0,2.4542051249404193
120978,1.0,31.0,0.9836065573770492,54.0,11111.0,1.0,29.4
35466,1.0,57.0,0.9836065573770492,54.0,17110.0,2.0,3.1407969039371997
5711,1.0,25.0,0.9836065573770492,53.0,13110.0,3.0,47.94
96492,1.0,18.0,0.9836065573770492,51.0,13100.0,5.0,57.625
64801,1.0,61.0,0.9836065573770492,59.0,8100.0,3.0,19.466584570890696
85565,1.0,14.0,0.9836065573770492,52.0,13111.0,3.0,55.1
24672,1.0,57.0,0.9836065573770492,53.0,12110.0,5.0,3.3324427987471466
64716,1.0,61.0,0.9836065573770492,55.0,7111.0,3.0,5.231761246000377
21745,1.0,57.0,0.9836065573770492,53.0,11110.0,2.0,5.908305146556706
75344,1.0,61.0,0.9836065573770492,60.0,8000.0,2.0,3.9938456453940328
114210,1.0,38.0,0.9836065573770492,55.0,15100.0,4.0,22.0
40045,1.0,24.0,0.9836065573770492,58.0,11100.0,0.0,47.2
96695,1.0,18.0,0.9836065573770492,46.0,15110.0,2.0,59.61666666666666
78140,1.0,8.0,0.9836065573770492,52.0,19111.0,3.0,52.04
128001,1.0,50.0,0.9836065573770492,54.0,14000.0,0.0,15.4
22613,1.0,57.0,0.9836065573770492,56.0,19100.0,2.0,0.7816742081447964
137057,1.0,28.0,0.9836065573770492,29.0,15110.0,4.0,8.122972972972972
11402,1.0,26.0,0.9836065573770492,53.0,17110.0,6.0,40.63492063492064
48271,1.0,35.0,0.9836065573770492,59.0,19000.0,3.0,35.23047619047618
61828,1.0,61.0,0.9836065573770492,60.0,18110.0,4.0,1.7718947718947722
124034,1.0,11.0,0.9836065573770492,53.0,9100.0,2.0,58.20000000000001
65835,1.0,61.0,0.9836065573770492,56.0,17110.0,4.0,4.7125639518527445
113978,1.0,38.0,0.9836065573770492,54.0,19111.0,2.0,28.9
108181,1.0,5.0,0.9836065573770492,50.0,16000.0,2.0,64.38
98766,1.0,43.0,0.9836065573770492,42.0,9000.0,4.0,1.0
65696,1.0,61.0,0.9836065573770492,57.0,9100.0,4.0,5.403037387465515
82500,1.0,53.0,0.9836065573770492,18.0,16110.0,2.0,8.8
12823,1.0,27.0,0.9836065573770492,54.0,19000.0,2.0,32.5
88860,1.0,19.0,0.9836065573770492,53.0,8100.0,4.0,58.48571428571429
78797,1.0,10.0,0.9836065573770492,54.0,12110.0,4.0,60.95
135080,1.0,59.0,0.9836065573770492,38.0,16100.0,1.0,4.4
19510,1.0,51.0,0.9836065573770492,54.0,8110.0,3.0,23.0
16558,1.0,35.0,0.9836065573770492,52.0,13100.0,1.0,27.80571428571428
90631,1.0,4.0,0.9836065573770492,58.0,18000.0,1.0,68.3
22788,1.0,57.0,0.9836065573770492,51.0,20111.0,2.0,9.18806588584476
64602,1.0,61.0,0.9836065573770492,59.0,20111.0,2.0,3.6100000000000003
140757,1.0,60.0,0.9836065573770492,58.0,14110.0,1.0,2.059047619047619
33631,1.0,57.0,0.9836065573770492,52.0,22111.0,6.0,5.549418981776993
54975,1.0,45.0,0.9836065573770492,59.0,18000.0,1.0,24.5
125064,1.0,54.0,0.9836065573770492,54.0,12100.0,0.0,9.675
1613,1.0,4.0,0.9836065573770492,53.0,13000.0,0.0,60.68333333333334
121553,1.0,31.0,0.9836065573770492,59.0,6111.0,2.0,47.5
