stopid,displaystopid,shortname,fullname,latitude,longitude,lastupdated,OperatorName,routes,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10,route11,route12,route13,route14,route15,route16,route17,route18,route19,route20,route21,route22,route23
7242,7242,Ballycoolin Rd,Ballycoolin Rd,53.39833111,-6.350066111,29/05/2017 09:46,bac,"17A, 220, 40D, , , , , , , , , , , , , , , , , , , , ",17A,220,40D,,,,,,,,,,,,,,,,,,,,
7243,7243,Ballycoolin Rd,Ballycoolin Rd,53.40332389,-6.357756944,29/05/2017 09:46,bac,"40D, 220, 17A, , , , , , , , , , , , , , , , , , , , ",40D,220,17A,,,,,,,,,,,,,,,,,,,,
7245,7245,Clongriffin,Clongriffin,53.40256194,-6.152171111,29/05/2017 09:46,bac,"15, , , , , , , , , , , , , , , , , , , , , , ",15,,,,,,,,,,,,,,,,,,,,,,
7246,7246,Clongriffin,Clongriffin,53.40275889,-6.157233056,29/05/2017 09:46,bac,"15, , , , , , , , , , , , , , , , , , , , , , ",15,,,,,,,,,,,,,,,,,,,,,,
7247,7247,Ballycoolin Rd,Ballycoolin Rd,53.398785,-6.351766944,29/05/2017 09:46,bac,"17A, 220, 40D, , , , , , , , , , , , , , , , , , , , ",17A,220,40D,,,,,,,,,,,,,,,,,,,,
7248,7248,Baltinglass Rd,Baltinglass Rd,53.151365,-6.555071944,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7249,7249,Baltinglass Rd,Baltinglass Rd,53.15151806,-6.555068056,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7250,7250,Baltinglass Rd,Baltinglass Rd,53.167715,-6.536788056,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7251,7251,Baltinglass Road,Baltinglass Road,53.16768889,-6.537068056,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7252,7252,Baltinglass Rd,Baltinglass Rd,53.16346111,-6.543901944,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7253,7253,Baltinglass Rd,Baltinglass Rd,53.16358806,-6.543991944,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7254,7254,Valleymount Rd,Valleymount Rd,53.14912389,-6.536328889,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7255,7255,Valleymount Rd,Valleymount Rd,53.14872306,-6.53672,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7256,7256,Valleymount Rd,Valleymount Rd,53.12980889,-6.527288889,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7257,7257,Valleymount Rd,Valleymount Rd,53.12980306,-6.527056944,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7258,7258,Valleymount Rd,Valleymount Rd,53.12103,-6.535908056,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7259,7259,Valleymount Rd,Valleymount Rd,53.121085,-6.535926944,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7260,7260,Valleymount Rd,Valleymount Rd,53.11648889,-6.538068056,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7261,7261,Valleymount Rd,Valleymount Rd,53.11665694,-6.53853,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7262,7262,Valleymount Vlg,Valleymount Vlg,53.10598111,-6.525073056,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7263,7263,Valleymount Rd,Valleymount Rd,53.10653306,-6.524908889,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7264,7264,Valleymount Rd,Valleymount Rd,53.09630194,-6.524881111,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7265,7265,Valleymount Rd,Valleymount Rd,53.09666806,-6.524988889,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7266,7266,Ballyknockan Rd,Ballyknockan Rd,53.09586611,-6.513723056,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7268,7268,Ballyknockan,Ballyknockan,53.10616111,-6.498871944,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7269,7269,Ballyknockan,Ballyknockan,53.10618806,-6.49876,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7270,7270,Ballyknockan Rd,Ballyknockan Rd,53.10718194,-6.491846111,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7271,7271,Newcastle Rd,Newcastle Rd,53.07656889,-6.067743889,29/05/2017 09:46,bac,"84, , , , , , , , , , , , , , , , , , , , , , ",84,,,,,,,,,,,,,,,,,,,,,,
7272,7272,Newcastle Rd,Newcastle Rd,53.07647806,-6.067591944,29/05/2017 09:46,bac,"84, , , , , , , , , , , , , , , , , , , , , , ",84,,,,,,,,,,,,,,,,,,,,,,
7276,7276,St. Margaret's Road,St. Margaret's Road,53.40610306,-6.280831944,29/05/2017 09:46,bac,"140, , , , , , , , , , , , , , , , , , , , , , ",140,,,,,,,,,,,,,,,,,,,,,,
7277,7277,St. Margaret's Road,St. Margaret's Road,53.40599806,-6.280403889,29/05/2017 09:46,bac,"140, , , , , , , , , , , , , , , , , , , , , , ",140,,,,,,,,,,,,,,,,,,,,,,
7278,7278,Ballymore Eustace,Ballymore Eustace,53.13246306,-6.610551944,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7279,7279,Dublin Rd,Dublin Rd,53.08507389,-6.105388056,29/05/2017 09:46,bac,"184, , , , , , , , , , , , , , , , , , , , , , ",184,,,,,,,,,,,,,,,,,,,,,,
7280,7280,Ballymore Eustace,Ballymore Eustace,53.13276111,-6.610798889,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7281,7281,Ballymore Eustace,Ballymore Eustace,53.13034389,-6.599968889,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7282,7282,Ballymore Eustace,Ballymore Eustace,53.13031306,-6.600068889,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
7283,7283,Ballymore Road,Ballymore Road,53.1287,-6.587543889,29/05/2017 09:46,bac,"65, , , , , , , , , , , , , , , , , , , , , , ",65,,,,,,,,,,,,,,,,,,,,,,
